product_id,member,date
164,gl,2020-11-29 10:54:00
224,zm,2020-11-29 10:13:00
130,vj,2020-11-29 10:58:00
154,oz,2020-11-29 10:21:00
136,wk,2020-11-29 10:45:00
222,rz,2020-11-29 10:44:00
142,pj,2020-11-29 10:00:00
126,ep,2020-11-29 10:12:00
90,tc,2020-11-29 10:47:00
102,sa,2020-11-29 10:08:00
154,th,2020-11-29 10:27:00
52,wc,2020-11-29 10:32:00
160,yp,2020-11-29 10:58:00
44,rd,2020-11-29 10:31:00
34,tb,2020-11-29 10:52:00
172,kz,2020-11-29 10:30:00
40,cj,2020-11-29 10:46:00
36,ex,2020-11-29 10:37:00
208,wx,2020-11-29 10:47:00
10,rz,2020-11-29 10:49:00
28,ak,2020-11-29 10:04:00
20,yp,2020-11-29 10:39:00
136,mt,2020-11-29 10:14:00
102,ua,2020-11-29 10:53:00
106,jy,2020-11-29 10:50:00
214,bj,2020-11-29 10:31:00
72,vz,2020-11-29 10:04:00
42,nw,2020-11-29 10:21:00
124,bx,2020-11-29 10:23:00
228,pv,2020-11-29 10:32:00
136,ph,2020-11-29 10:53:00
80,dv,2020-11-29 10:17:00
104,sn,2020-11-29 10:53:00
88,rf,2020-11-29 10:26:00
12,ox,2020-11-29 10:55:00
120,wk,2020-11-29 10:09:00
6,cf,2020-11-29 10:11:00
14,lb,2020-11-29 10:31:00
2,ad,2020-11-29 10:29:00
188,cm,2020-11-29 10:03:00
148,ca,2020-11-29 10:23:00
32,pa,2020-11-29 10:10:00
122,bf,2020-11-29 10:58:00
230,bv,2020-11-29 10:30:00
98,gh,2020-11-29 10:27:00
170,bv,2020-11-29 10:09:00
94,ky,2020-11-29 10:55:00
132,de,2020-11-29 10:18:00
6,tq,2020-11-29 10:52:00
204,od,2020-11-29 10:24:00
84,iy,2020-11-29 10:43:00
162,df,2020-11-29 10:23:00
224,lv,2020-11-29 10:03:00
70,mx,2020-11-29 10:45:00
226,rh,2020-11-29 10:43:00
242,km,2020-11-29 10:29:00
160,tv,2020-11-29 10:28:00
144,gf,2020-11-29 10:04:00
36,ei,2020-11-29 10:43:00
2,gd,2020-11-29 10:45:00
222,ia,2020-11-29 10:41:00
188,rf,2020-11-29 10:02:00
84,tk,2020-11-29 10:07:00
118,ku,2020-11-29 10:27:00
144,br,2020-11-29 10:36:00
176,bu,2020-11-29 10:50:00
128,ze,2020-11-29 10:38:00
36,bg,2020-11-29 10:38:00
164,qa,2020-11-29 10:13:00
148,fk,2020-11-29 10:26:00
90,tj,2020-11-29 10:29:00
50,an,2020-11-29 10:30:00
74,is,2020-11-29 10:21:00
152,vf,2020-11-29 10:56:00
52,zw,2020-11-29 10:03:00
202,et,2020-11-29 10:06:00
98,de,2020-11-29 10:55:00
94,eq,2020-11-29 10:37:00
12,va,2020-11-29 10:52:00
12,um,2020-11-29 10:13:00
58,mo,2020-11-29 10:58:00
106,df,2020-11-29 10:28:00
110,tf,2020-11-29 10:15:00
8,rf,2020-11-29 10:15:00
212,bh,2020-11-29 10:29:00
128,tq,2020-11-29 10:14:00
54,on,2020-11-29 10:57:00
94,za,2020-11-29 10:26:00
132,uv,2020-11-29 10:33:00
144,zp,2020-11-29 10:43:00
230,bc,2020-11-29 10:44:00
76,nv,2020-11-29 10:12:00
102,em,2020-11-29 10:32:00
2,pn,2020-11-29 10:33:00
188,to,2020-11-29 10:11:00
130,it,2020-11-29 10:23:00
36,zx,2020-11-29 10:18:00
182,in,2020-11-29 10:54:00
196,mz,2020-11-29 10:28:00
26,qk,2020-11-29 10:08:00
206,cv,2020-11-29 10:46:00
26,yb,2020-11-29 11:21:00
222,qj,2020-11-29 11:25:00
64,us,2020-11-29 11:10:00
130,py,2020-11-29 11:54:00
42,xq,2020-11-29 11:36:00
58,vi,2020-11-29 11:16:00
10,ml,2020-11-29 11:20:00
82,sd,2020-11-29 11:16:00
54,vz,2020-11-29 11:43:00
16,qo,2020-11-29 11:37:00
102,gz,2020-11-29 11:36:00
162,tj,2020-11-29 11:02:00
8,cx,2020-11-29 11:11:00
6,ja,2020-11-29 11:43:00
54,wn,2020-11-29 11:14:00
192,yk,2020-11-29 11:30:00
158,fs,2020-11-29 11:36:00
120,ly,2020-11-29 11:22:00
192,uy,2020-11-29 11:28:00
224,fr,2020-11-29 11:25:00
238,wf,2020-11-29 11:55:00
36,rj,2020-11-29 11:37:00
124,gy,2020-11-29 11:11:00
28,bl,2020-11-29 11:14:00
92,kf,2020-11-29 11:12:00
20,fa,2020-11-29 11:26:00
158,tw,2020-11-29 11:45:00
10,xe,2020-11-29 11:08:00
130,uk,2020-11-29 11:21:00
8,yz,2020-11-29 11:15:00
114,qu,2020-11-29 11:18:00
122,ol,2020-11-29 11:09:00
12,lm,2020-11-29 11:49:00
222,eu,2020-11-29 11:56:00
180,qy,2020-11-29 11:46:00
208,gb,2020-11-29 11:07:00
64,fo,2020-11-29 11:47:00
86,ay,2020-11-29 11:40:00
10,fc,2020-11-29 11:58:00
220,fz,2020-11-29 11:56:00
86,jg,2020-11-29 11:26:00
54,zc,2020-11-29 11:33:00
142,jp,2020-11-29 11:35:00
176,ik,2020-11-29 11:09:00
34,xf,2020-11-29 11:46:00
48,nz,2020-11-29 11:43:00
228,xu,2020-11-29 11:10:00
152,ia,2020-11-29 11:52:00
160,fu,2020-11-29 11:24:00
132,rw,2020-11-29 11:21:00
86,jd,2020-11-29 11:23:00
206,cv,2020-11-29 11:24:00
14,ni,2020-11-29 11:29:00
234,hk,2020-11-29 11:32:00
4,ao,2020-11-29 11:37:00
84,jx,2020-11-29 11:32:00
76,od,2020-11-29 11:15:00
212,up,2020-11-29 11:35:00
74,kn,2020-11-29 11:46:00
192,lm,2020-11-29 11:31:00
202,fl,2020-11-29 11:30:00
2,ok,2020-11-29 11:33:00
