product_id,member,date
154,yck,2020-11-25 10:10:00
228,ruo,2020-11-25 10:22:00
92,lom,2020-11-25 10:09:00
194,dyn,2020-11-25 10:42:00
132,ykt,2020-11-25 10:39:00
26,vhd,2020-11-25 10:11:00
232,xqr,2020-11-25 10:29:00
96,fco,2020-11-25 10:01:00
26,viy,2020-11-25 10:27:00
234,njd,2020-11-25 10:55:00
124,kwg,2020-11-25 10:41:00
36,igm,2020-11-25 10:41:00
142,fes,2020-11-25 10:08:00
144,vif,2020-11-25 10:15:00
2,xji,2020-11-25 10:40:00
134,ygq,2020-11-25 10:17:00
230,fhg,2020-11-25 10:32:00
150,wmb,2020-11-25 10:48:00
220,rpc,2020-11-25 10:06:00
42,zsv,2020-11-25 10:49:00
96,vao,2020-11-25 10:48:00
208,xud,2020-11-25 10:16:00
144,tvl,2020-11-25 10:32:00
220,msb,2020-11-25 10:58:00
206,xuf,2020-11-25 10:11:00
188,jda,2020-11-25 10:23:00
240,giw,2020-11-25 10:46:00
68,jni,2020-11-25 10:59:00
76,cro,2020-11-25 10:24:00
160,gic,2020-11-25 10:39:00
200,cfe,2020-11-25 10:50:00
14,dmr,2020-11-25 10:49:00
108,lcv,2020-11-25 10:00:00
34,fce,2020-11-25 10:29:00
144,iua,2020-11-25 10:14:00
18,dnc,2020-11-25 10:33:00
44,gmh,2020-11-25 10:08:00
104,avc,2020-11-25 10:31:00
28,aon,2020-11-25 10:31:00
122,duz,2020-11-25 10:49:00
202,gan,2020-11-25 10:08:00
78,hqi,2020-11-25 10:44:00
238,ynh,2020-11-25 10:36:00
112,pky,2020-11-25 10:56:00
84,cpg,2020-11-25 10:16:00
214,lbh,2020-11-25 10:09:00
72,muk,2020-11-25 10:11:00
2,icq,2020-11-25 10:13:00
182,lqz,2020-11-25 10:26:00
160,dls,2020-11-25 10:35:00
242,spg,2020-11-25 10:31:00
180,hrx,2020-11-25 10:57:00
170,oqs,2020-11-25 10:59:00
6,qvt,2020-11-25 10:40:00
224,blo,2020-11-25 10:38:00
110,czv,2020-11-25 10:27:00
98,ezv,2020-11-25 10:59:00
26,gmd,2020-11-25 10:35:00
134,myb,2020-11-25 10:26:00
30,gie,2020-11-25 10:27:00
220,ozr,2020-11-25 10:40:00
176,cqb,2020-11-25 10:28:00
82,qci,2020-11-25 10:33:00
152,bkt,2020-11-25 10:15:00
4,ofe,2020-11-25 10:43:00
32,mul,2020-11-25 10:26:00
158,ryw,2020-11-25 10:13:00
74,bwi,2020-11-25 10:13:00
114,fpd,2020-11-25 10:00:00
74,sel,2020-11-25 10:51:00
102,jdf,2020-11-25 10:55:00
152,psk,2020-11-25 10:31:00
44,vjz,2020-11-25 10:26:00
170,zqa,2020-11-25 10:20:00
192,gdf,2020-11-25 10:42:00
22,mnz,2020-11-25 10:04:00
216,kby,2020-11-25 10:23:00
236,jba,2020-11-25 10:19:00
86,ytn,2020-11-25 10:25:00
92,acy,2020-11-25 10:43:00
236,tka,2020-11-25 10:32:00
160,gdh,2020-11-25 10:13:00
52,pck,2020-11-25 10:55:00
42,lvh,2020-11-25 10:25:00
42,avf,2020-11-25 10:29:00
162,wiy,2020-11-25 10:41:00
182,icb,2020-11-25 10:44:00
184,pzo,2020-11-25 10:18:00
20,hka,2020-11-25 10:18:00
16,gtf,2020-11-25 10:38:00
196,xkq,2020-11-25 10:01:00
22,fie,2020-11-25 10:13:00
64,inl,2020-11-25 10:31:00
44,hwz,2020-11-25 10:34:00
208,kmq,2020-11-25 10:55:00
114,rwu,2020-11-25 10:08:00
4,poz,2020-11-25 10:03:00
106,qbp,2020-11-25 10:05:00
242,oex,2020-11-25 10:53:00
12,ptd,2020-11-25 10:04:00
14,zyj,2020-11-25 10:12:00
64,jdw,2020-11-25 11:53:00
200,ihj,2020-11-25 11:55:00
132,wdg,2020-11-25 11:19:00
214,hwb,2020-11-25 11:23:00
158,ivu,2020-11-25 11:37:00
136,yik,2020-11-25 11:32:00
6,anc,2020-11-25 11:36:00
212,ksw,2020-11-25 11:23:00
154,lmi,2020-11-25 11:53:00
106,atf,2020-11-25 11:32:00
106,sez,2020-11-25 11:41:00
12,lur,2020-11-25 11:05:00
242,gia,2020-11-25 11:13:00
192,lfx,2020-11-25 11:46:00
198,kho,2020-11-25 11:04:00
170,jdt,2020-11-25 11:35:00
170,wgd,2020-11-25 11:28:00
18,uqc,2020-11-25 11:52:00
174,ymq,2020-11-25 11:52:00
22,uay,2020-11-25 11:26:00
36,mov,2020-11-25 11:12:00
4,zdl,2020-11-25 11:18:00
86,whg,2020-11-25 11:51:00
170,ovn,2020-11-25 11:56:00
76,yha,2020-11-25 11:52:00
142,mte,2020-11-25 11:50:00
42,olf,2020-11-25 11:02:00
22,jyc,2020-11-25 11:39:00
126,noy,2020-11-25 11:18:00
76,agq,2020-11-25 11:35:00
132,tfl,2020-11-25 11:11:00
